Date,Close,High,Low,Open,Volume
2014-01-01,597.366455078125,603.7116421471651,596.1645479859172,601.0561660297604,694318.0
2014-01-02,579.1975708007812,603.7116546441183,574.8649625578579,596.6397340980975,2322501.0
2014-01-03,565.780517578125,577.4645513871686,563.5443244101809,570.2249073549307,3701602.0
2014-01-06,564.9140625,573.5512833393394,559.0720450128506,565.8085193835785,2579617.0
2014-01-07,569.9454345703125,575.0047764743055,563.5723015956713,567.4297363076412,2833413.0
2014-01-08,558.1217041015625,573.5233974716755,557.2272471251698,571.3430946141937,3084265.0
2014-01-09,543.3348999023438,561.2801823413504,542.272719670191,558.4011431547833,4402965.0
2014-01-10,534.4740600585938,550.0993657240069,531.9304163604595,543.8101199268574,4818324.0
2014-01-13,548.1705932617188,552.2795358687522,533.9429169274882,533.9429169274882,3526029.0
2014-01-14,543.3907470703125,557.2550309120368,541.1545540957746,546.772956315773,2725885.0
2014-01-15,558.5409545898438,561.0007623132979,545.2357287059194,545.2357287059194,2702491.0
2014-01-16,561.2801513671875,566.2836019239543,554.1802858387031,562.1746592885914,2767075.0
2014-01-17,560.63720703125,565.5568210481482,556.6121008605163,558.6526249098889,2133013.0
2014-01-20,558.45703125,564.5785530396874,553.0342974254522,560.1621086887068,2311656.0
2014-01-21,565.4729614257812,568.8551706369495,561.8671380376269,562.5659259429578,1709856.0
2014-01-22,561.7274169921875,568.7155014827191,557.1153037485208,566.8147551944329,3245709.0
2014-01-23,577.4645385742188,583.3065041671081,564.6903794327175,564.6903794327175,6787534.0
2014-01-24,562.593994140625,575.5078808475527,561.3640904195821,575.25632126416,3782706.0
2014-01-27,547.947021484375,554.8232733127586,543.9778054459752,552.7268581932519,3345742.0
2014-01-28,549.8197631835938,557.1152460680912,544.5088113315329,547.3040653111452,3471943.0
2014-01-29,555.2144775390625,562.3982298179897,552.6987797682792,554.0405159552316,2601379.0
2014-01-30,548.1146850585938,552.0279587328777,544.7324246774996,547.2761191023894,2887870.0
2014-01-31,551.1614990234375,556.5842328723783,545.431314846695,550.8540486956358,2014065.0
2014-02-03,547.471923828125,553.285996760046,545.2916720696654,548.4223227882367,1745134.0
2014-02-04,549.540283203125,552.8107113631556,539.5334322577374,541.5180147470984,1948258.0
2014-02-05,550.882080078125,552.6151031719575,545.0400622997367,547.8632111725278,2288964.0
2014-02-06,545.2077026367188,552.8945238618758,541.7136604185507,551.2173917862766,2699857.0
2014-02-07,550.1831665039062,552.2795816348951,545.7387766626119,549.7079927227514,2114169.0
2014-02-10,556.7520141601562,559.5751628855021,547.3041725992547,551.3572251276075,2414272.0
2014-02-11,555.4940795898438,562.9572862180489,551.9720921829798,557.0314335162817,1820484.0
2014-02-12,564.9140625,569.0789477394324,555.6618897576967,559.0440996329907,2079207.0
2014-02-13,551.7484130859375,567.9606699819944,550.8819018194138,566.3114835655782,1827121.0
2014-02-14,554.9908447265625,557.9258253605418,545.6268930156765,554.8790632375731,1588461.0
2014-02-17,558.0936889648438,561.6156768467151,552.6150638961609,556.8917305642818,1273681.0
2014-02-18,568.7713623046875,571.2311695537279,553.6771743015872,557.9538404296629,3418378.0
2014-02-19,576.5421752929688,577.9118572271555,566.7309410711515,568.5478514624558,2676043.0
2014-02-20,578.414794921875,580.8187111019806,568.2402227604979,571.7901039225607,2632165.0
2014-02-21,589.8753662109375,590.909601156257,579.561013319087,579.7286855950739,2793133.0
2014-02-24,606.3671264648438,608.7989886277597,587.0521607848981,587.8907268849363,3940515.0
2014-02-25,608.1839599609375,609.3020308924979,599.5746858329064,607.4292300933802,2892156.0
2014-02-26,613.075439453125,614.9202944601942,604.9693374609038,605.8358486349829,3813249.0
2014-02-28,620.3431396484375,623.166339001971,610.0287886092402,610.0287886092402,3390912.0
2014-03-03,613.5786743164062,616.485709570554,607.4850989043657,615.2558061028761,1801497.0
2014-03-04,624.2844848632812,626.7442922821868,609.0784631251496,611.035151382011,2621673.0
2014-03-05,628.0020751953125,632.3905738489752,622.8867920708241,628.2536347498273,2453523.0
2014-03-06,638.7077026367188,640.3848344150366,625.4863171964463,628.5051339246183,2598480.0
2014-03-07,670.097900390625,683.7106217546408,638.9871301438218,638.9871301438218,9813319.0
2014-03-10,691.4814453125,694.3325899469188,664.8430043518713,664.8430043518713,6267502.0
2014-03-11,687.652099609375,702.0754457638192,681.2790181649042,688.6583890958728,4450599.0
2014-03-12,681.0554809570312,687.624231965953,674.7662349329523,684.8290285714785,3076795.0
2014-03-13,684.940673828125,692.0125938212697,681.4746284503657,681.4746284503657,2942418.0
2014-03-14,701.572265625,706.3241053271547,671.8031737307743,680.6360617784087,4093326.0
2014-03-18,693.5221557617188,709.175407720144,689.3013796046291,701.041305777944,3189525.0
2014-03-19,696.5689086914062,701.2089675176477,687.1769583431288,692.8791974603649,2946181.0
2014-03-20,681.5026245117188,695.3669094179196,679.7975470707476,687.6241463095361,2957193.0
2014-03-21,680.133056640625,690.4194649441905,676.7229011877624,684.3538328844829,3006924.0
2014-03-24,687.8198852539062,692.3481627616355,680.2727901957002,686.7856502967586,4826047.0
2014-03-25,697.9384765625,698.8049879444387,683.4871856468606,687.624124925026,3608031.0
2014-03-26,713.2283325195312,714.8495737774856,699.6156076283086,699.9231091271655,4239243.0
2014-03-27,717.5889282226562,724.5769616139428,709.1753223027684,712.7532007220362,6435498.0
2014-03-28,720.132568359375,722.508488441141,704.591151051944,721.1668032335106,2952043.0
2014-03-31,711.048095703125,728.0150849556211,707.1068251644316,721.1667787172108,3946083.0
2014-04-01,715.0453491210938,721.1668716322671,701.0412845169479,711.7190299819322,2856469.0
2014-04-02,727.0087280273438,732.3475739855319,712.80899772799,721.1667117935859,3237921.0
2014-04-03,721.2227172851562,725.6112165021345,701.3766875756733,724.0179716643598,4524073.0
2014-04-04,713.9552001953125,720.5518963172053,708.1970189939699,720.5518963172053,3040353.0
2014-04-07,718.0081787109375,723.8222500720182,708.4205602768105,713.5078471267523,2376559.0
2014-04-09,725.6671142578125,731.6768549308514,714.150854454222,720.6077723665522,4062904.0
2014-04-10,734.7235717773438,741.9911094355898,723.4308764955707,724.6607800825367,4725337.0
