Date,Close,High,Low,Open,Volume
2014-01-01,155.0352020263672,155.90038864656154,154.7014203649522,155.64565630409234,5904780.0
2014-01-02,153.06321716308594,158.632037330821,152.14972741660685,155.10980035773375,19451900.0
2014-01-03,151.0474090576172,152.48353846849045,150.28763505392538,151.69300519760856,13759590.0
2014-01-06,148.2805633544922,151.42948107443553,147.7403663360185,151.245032709016,13907830.0
2014-01-07,145.9309539794922,149.49709891181791,145.36880325226937,148.69778686761234,17352910.0
2014-01-08,145.55763244628906,147.38462546866432,145.01744885113217,146.18127483578502,14248790.0
2014-01-09,144.03367614746094,146.04951363762726,143.17288586252405,145.19311944787853,14791100.0
2014-01-10,141.253662109375,145.4566237747581,140.53779556876006,144.01171581130276,20473070.0
2014-01-13,144.16104125976562,144.49920551862172,141.42933721524597,141.42933721524597,15564850.0
2014-01-14,142.9533233642578,144.84179508601088,142.5888092663989,143.61209443966914,10197000.0
2014-01-15,144.11273193359375,145.632293092852,143.34854855762308,143.34854855762308,13624980.0
2014-01-16,143.7174530029297,145.083311616944,143.38806755809148,144.41574853765928,7241970.0
2014-01-17,142.43067932128906,144.4465169501302,142.0310233108212,143.5725517222357,11207380.0
2014-01-20,144.21372985839844,144.56946506818613,142.0002559064864,142.4306577146362,9468650.0
2014-01-21,145.76400756835938,146.92345053995354,144.59578581160784,145.27212754503776,12351890.0
2014-01-22,144.6529083251953,145.62788976801292,143.63400614297134,145.28093335024923,9821920.0
2014-01-23,145.65866088867188,146.0714917857818,143.7130937603596,143.96341655320822,9241310.0
2014-01-24,142.39991760253906,146.23836527218947,142.1188489797716,144.84176073743973,16616560.0
2014-01-27,140.05470275878906,140.8891432903308,139.0489753451403,140.35334237593378,15688040.0
2014-01-28,140.21279907226562,142.99720239699192,138.627350177244,140.80568214497643,18296910.0
2014-01-29,138.22332763671875,142.45262594115283,137.902720944572,141.67967712869535,17594550.0
2014-01-30,133.21226501464844,136.8486799067583,132.63693949133932,136.5851688618489,20955320.0
2014-01-31,133.84909057617188,135.1798074960639,132.89607600925132,134.43320838417026,13174950.0
2014-02-03,130.73089599609375,134.30142304029798,130.43663909487452,133.9500839189789,14150230.0
2014-02-04,133.1068572998047,133.68657893872455,128.83802110883576,129.47044227807035,18002040.0
2014-02-05,133.6602325439453,134.38049521701922,131.85081047629234,133.41429246112233,13227190.0
2014-02-06,132.18020629882812,135.08318408351792,131.17887491102798,133.69538496583573,16116300.0
