Date,Close,High,Low,Open,Volume
2014-01-01,150.49856567382812,151.5506784202385,150.0120955864743,151.14340852453216,4492436.0
2014-01-02,148.65455627441406,152.6707181828933,147.8739473949962,150.46465741626386,7228992.0
2014-01-03,150.0347442626953,150.69091141295795,147.07070933697096,147.52323459646934,6513184.0
2014-01-06,149.71795654296875,150.01209514400173,148.65451962233655,150.01209514400173,5963420.0
2014-01-07,150.32887268066406,151.81088990644227,147.8173496062411,150.93977063527922,7896920.0
2014-01-08,150.39674377441406,150.90583459324654,149.33330685752512,150.50987506748794,4649480.0
2014-01-09,150.0008087158203,150.70221732329873,148.67716408496813,150.05737437158388,3777472.0
2014-01-10,149.79714965820312,152.6593770357011,148.49613972479003,150.0007915195961,6150508.0
2014-01-13,152.24078369140625,153.16846863011077,148.63190629770295,149.3559355640431,4752580.0
2014-01-14,152.11634826660156,152.9535226763812,151.2112978365638,151.38099479219588,3577120.0
2014-01-15,153.98301696777344,154.46948710482445,151.50543861832594,152.2747370187848,4627840.0
2014-01-16,152.28607177734375,154.98991317056263,151.67515986854488,154.85416110637445,4501176.0
2014-01-17,150.46461486816406,152.72724065565527,149.11834976261244,152.72724065565527,43374856.0
2014-01-20,151.60723876953125,153.11189044856016,150.78138863959012,151.16602397711156,5600368.0
2014-01-21,152.97613525390625,153.58704702359248,151.59593894570318,152.26341636424974,6251924.0
2014-01-22,153.20242309570312,154.9220273904161,152.64809069350122,152.84040840732942,7033336.0
2014-01-23,153.7454376220703,154.1074522602522,152.21816506291069,152.7272559159639,5482740.0
2014-01-24,152.36526489257812,152.7159692170418,150.17051455726065,151.595966404743,8842900.0
2014-01-27,146.8896942138672,150.44202007474433,146.0751405039351,150.44202007474433,17060448.0
2014-01-28,145.81492614746094,148.42825625085888,144.49128173485025,146.6181555648728,18395424.0
2014-01-29,146.04119873046875,147.2743326692055,144.93250646041776,146.50503430101014,10970924.0
2014-01-30,142.95272827148438,144.7854638784115,142.01374663377692,144.24242803710527,11425460.0
2014-01-31,142.20603942871094,143.97088488874337,141.43674108999215,142.54543331756227,9620984.0
2014-02-03,141.75350952148438,143.45047890921165,141.43673637845305,142.53411820183337,4776820.0
2014-02-04,142.68118286132812,143.7898750695671,139.5587619003328,140.65614374113517,7409304.0
2014-02-05,144.23110961914062,144.76282125118556,141.43675798122922,142.77171296079533,6905384.0
2014-02-06,146.3919219970703,146.98019931263576,142.43232596160087,144.52525529463472,13466944.0
2014-02-07,146.5615997314453,148.0888722875044,145.2832105123844,147.6137263496086,4029468.0
2014-02-10,145.69052124023438,147.10466275790253,143.90304083791153,146.53900615083526,6280820.0
2014-02-11,145.89413452148438,146.42585996413177,144.64969011227356,146.16565242730707,4464856.0
2014-02-12,146.04119873046875,147.704223325572,145.63392881023665,146.30139243590747,6436960.0
2014-02-13,143.11109924316406,146.6181696593997,142.82827098379022,146.16564444440155,3155200.0
2014-02-14,145.21533203125,145.67916759322884,142.39835993585575,143.45048653617494,4249112.0
2014-02-17,147.16119384765625,147.5232084671449,145.05694071571438,145.26058257040955,3650120.0
2014-02-18,149.42384338378906,150.32889388566548,146.48242925269065,146.7313126167168,5019672.0
2014-02-19,151.60723876953125,152.10501920687724,148.20198970696111,148.47350756460182,4060948.0
2014-02-20,149.9555206298828,151.01895748763036,149.52561621612162,150.64561871726028,3448436.0
2014-02-21,150.32887268066406,151.50542711916196,149.26543572896998,149.2993668320193,3043872.0
2014-02-24,151.82217407226562,152.27469918127386,148.37167011607775,149.8084318131908,5018984.0
2014-02-25,151.84483337402344,152.9535256967021,150.6908995769284,152.50100047274736,4020560.0
2014-02-26,153.2703094482422,153.67757941589537,151.2678769081539,151.59596048014322,4551340.0
2014-02-28,151.5054473876953,154.514751332517,150.49858975966393,154.31110944708672,4903584.0
2014-03-03,150.73614501953125,152.04846532132186,150.0573572279182,150.5098824223269,3678432.0
2014-03-04,151.98060607910156,152.4670624308,150.29494678187896,150.69090637069084,6443868.0
2014-03-05,151.53939819335938,152.72727701458393,149.89899410690646,152.38788306566263,4006984.0
2014-03-06,152.86300659179688,153.33816633639998,151.16603709672822,152.27472935749566,4948680.0
2014-03-07,160.97454833984375,161.7551571630427,152.9987907579769,153.76807540187426,22767568.0
2014-03-10,166.1785888671875,166.73293506434854,158.38383861887777,159.85454569176736,26123852.0
2014-03-11,164.07431030273438,167.43430398713627,162.80723160820017,166.18985983588055,13000472.0
2014-03-12,164.16482543945312,165.85048455883287,162.11715168677185,163.1918990287288,7110216.0
2014-03-13,167.9660186767578,169.5838016278838,164.60602492899991,164.60602492899991,11448452.0
2014-03-14,165.65818786621094,167.4117232252934,163.81414193234724,166.30303082910942,12208480.0
2014-03-18,166.07675170898438,168.52038507567775,164.78705210129323,166.39352487928517,8102724.0
2014-03-19,167.0836181640625,168.1809862397754,166.47270638780074,167.43432242877682,6055136.0
2014-03-20,165.21697998046875,167.08364673211543,164.71919941803455,167.08364673211543,5195084.0
2014-03-21,166.0428009033203,166.86866490446377,165.4432133086304,166.33695332672346,7525592.0
2014-03-24,169.84402465820312,170.3531155035398,166.07674687872245,166.18987817768615,11713860.0
