2026-03-09 11:49:58 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ICICIBANK.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:49:58 | INFO     | src.intraday:predict_timeframe:357 — Predicting ICICIBANK.NS [1hr]...
2026-03-09 11:49:59 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ICICIBANK.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:49:59 | INFO     | __main__:scan_all_tickers:65 — [6/50] INFOSYS.NS
2026-03-09 11:49:59 | INFO     | src.intraday:predict_timeframe:357 — Predicting INFOSYS.NS [5min]...
2026-03-09 11:50:01 | INFO     | src.intraday:predict_timeframe:357 — Predicting INFOSYS.NS [15min]...
2026-03-09 11:50:03 | INFO     | src.intraday:predict_timeframe:357 — Predicting INFOSYS.NS [1hr]...
2026-03-09 11:50:04 | INFO     | __main__:scan_all_tickers:65 — [7/50] SBIN.NS
2026-03-09 11:50:04 | INFO     | src.intraday:predict_timeframe:357 — Predicting SBIN.NS [5min]...
2026-03-09 11:50:04 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SBIN.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:04 | INFO     | src.intraday:predict_timeframe:357 — Predicting SBIN.NS [15min]...
2026-03-09 11:50:05 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SBIN.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:05 | INFO     | src.intraday:predict_timeframe:357 — Predicting SBIN.NS [1hr]...
2026-03-09 11:50:05 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SBIN.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:05 | INFO     | __main__:scan_all_tickers:65 — [8/50] HINDUNILVR.NS
2026-03-09 11:50:05 | INFO     | src.intraday:predict_timeframe:357 — Predicting HINDUNILVR.NS [5min]...
2026-03-09 11:50:05 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HINDUNILVR.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:05 | INFO     | src.intraday:predict_timeframe:357 — Predicting HINDUNILVR.NS [15min]...
2026-03-09 11:50:06 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HINDUNILVR.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:06 | INFO     | src.intraday:predict_timeframe:357 — Predicting HINDUNILVR.NS [1hr]...
2026-03-09 11:50:06 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HINDUNILVR.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:06 | INFO     | __main__:scan_all_tickers:65 — [9/50] ITC.NS
2026-03-09 11:50:06 | INFO     | src.intraday:predict_timeframe:357 — Predicting ITC.NS [5min]...
2026-03-09 11:50:07 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ITC.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:07 | INFO     | src.intraday:predict_timeframe:357 — Predicting ITC.NS [15min]...
2026-03-09 11:50:07 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ITC.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:07 | INFO     | src.intraday:predict_timeframe:357 — Predicting ITC.NS [1hr]...
2026-03-09 11:50:07 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ITC.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:07 | INFO     | __main__:scan_all_tickers:65 — [10/50] LT.NS
2026-03-09 11:50:07 | INFO     | src.intraday:predict_timeframe:357 — Predicting LT.NS [5min]...
2026-03-09 11:50:08 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting LT.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:08 | INFO     | src.intraday:predict_timeframe:357 — Predicting LT.NS [15min]...
2026-03-09 11:50:08 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting LT.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:08 | INFO     | src.intraday:predict_timeframe:357 — Predicting LT.NS [1hr]...
2026-03-09 11:50:08 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting LT.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:08 | INFO     | __main__:scan_all_tickers:65 — [11/50] KOTAKBANK.NS
2026-03-09 11:50:08 | INFO     | src.intraday:predict_timeframe:357 — Predicting KOTAKBANK.NS [5min]...
2026-03-09 11:50:09 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting KOTAKBANK.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:09 | INFO     | src.intraday:predict_timeframe:357 — Predicting KOTAKBANK.NS [15min]...
2026-03-09 11:50:09 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting KOTAKBANK.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:09 | INFO     | src.intraday:predict_timeframe:357 — Predicting KOTAKBANK.NS [1hr]...
2026-03-09 11:50:10 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting KOTAKBANK.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:10 | INFO     | __main__:scan_all_tickers:65 — [12/50] AXISBANK.NS
2026-03-09 11:50:10 | INFO     | src.intraday:predict_timeframe:357 — Predicting AXISBANK.NS [5min]...
2026-03-09 11:50:10 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting AXISBANK.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:10 | INFO     | src.intraday:predict_timeframe:357 — Predicting AXISBANK.NS [15min]...
2026-03-09 11:50:10 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting AXISBANK.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:10 | INFO     | src.intraday:predict_timeframe:357 — Predicting AXISBANK.NS [1hr]...
2026-03-09 11:50:11 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting AXISBANK.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:11 | INFO     | __main__:scan_all_tickers:65 — [13/50] BAJFINANCE.NS
2026-03-09 11:50:11 | INFO     | src.intraday:predict_timeframe:357 — Predicting BAJFINANCE.NS [5min]...
2026-03-09 11:50:11 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting BAJFINANCE.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:11 | INFO     | src.intraday:predict_timeframe:357 — Predicting BAJFINANCE.NS [15min]...
